t, ekin, erot, evib_1, evib_2, evib_3, evib_4
9.47947947947948e-06, 1.2340782615159707e-19, 1.2341454436109287e-19, 5.670058521546457e-20, 1.3604090781510704e-19, 1.6777547642749826e-19, 2.096649871246307e-19
9.48948948948949e-06, 1.2340774007128502e-19, 1.234144223992503e-19, 5.670042889713376e-20, 1.3604042778415542e-19, 1.6777524809971197e-19, 2.0966605984385404e-19
9.4994994994995e-06, 1.234076544286149e-19, 1.234143010888236e-19, 5.670027349782155e-20, 1.360399499714652e-19, 1.677750200605527e-19, 2.0966712804811255e-19
9.50950950950951e-06, 1.2340756922116383e-19, 1.234141804259315e-19, 5.670011901172712e-20, 1.3603947436710262e-19, 1.6777479231251155e-19, 2.0966819175695393e-19
9.51951951951952e-06, 1.2340748444652378e-19, 1.2341406040671926e-19, 5.669996543308824e-20, 1.360390009611747e-19, 1.677745648580472e-19, 2.096692509898374e-19
9.52952952952953e-06, 1.2340740010230166e-19, 1.234139410273584e-19, 5.669981275618101e-20, 1.3603852974382912e-19, 1.6777433769958628e-19, 2.0967030576613413e-19
9.539539539539539e-06, 1.2340731618611905e-19, 1.2341382228404647e-19, 5.669966097531959e-20, 1.3603806070525412e-19, 1.677741108395236e-19, 2.0967135610512773e-19
9.54954954954955e-06, 1.2340723269561214e-19, 1.2341370417300694e-19, 5.669951008485596e-20, 1.3603759383567837e-19, 1.677738842802225e-19, 2.0967240202601462e-19
9.55955955955956e-06, 1.2340714962843178e-19, 1.2341358669048887e-19, 5.669936007917961e-20, 1.3603712912537082e-19, 1.67773658024015e-19, 2.0967344354790444e-19
9.56956956956957e-06, 1.234070669822431e-19, 1.2341346983276682e-19, 5.669921095271735e-20, 1.3603666656464056e-19, 1.6777343207320211e-19, 2.0967448068982055e-19
9.57957957957958e-06, 1.2340698475472556e-19, 1.2341335359614056e-19, 5.669906269993302e-20, 1.3603620614383675e-19, 1.6777320643005424e-19, 2.0967551347070035e-19
9.589589589589589e-06, 1.2340690294357286e-19, 1.2341323797693494e-19, 5.669891531532723e-20, 1.360357478533484e-19, 1.677729810968112e-19, 2.0967654190939576e-19
9.5995995995996e-06, 1.2340682154649309e-19, 1.2341312297149965e-19, 5.669876879343713e-20, 1.3603529168360438e-19, 1.677727560756827e-19, 2.096775660246736e-19
